,,,,,,,,Diagnóstico,Datos PAES (2023 en adelante),,,,,,,,Datos PSU (Hasta 2022),,,,,,,
Año,Semestre,Bimestre,Cód. Asig.,Módulo,Nombre Asignatura,Nota Final,Estado Final,% Aciertos Diag. Matem.,PAES C. Lectora,PAES M1,PAES M2,PAES Historia,PAES Ciencias,NEM (PAES),Ranking (PAES),Prom. M1 y C. Lectora,PSU Lenguaje,PSU Matemáticas,PSU Historia,PSU Ciencias,NEM (PSU),Ranking (PSU),Prom. Leng. Y Mat.,Año Ingreso UFRO
2022,1,1,IME027,3,PRECÁLCULO I,"1,9",REPROBADA,"20,00",,,,,,,,,564,568,0,493,757,818,"566,0",2022
2022,1,1,IME027,3,PRECÁLCULO I,"2,0",REPROBADA,"40,00",,,,,,,,,595,540,0,444,746,793,"567,5",2022
2022,1,1,IME027,3,PRECÁLCULO I,"2,1",REPROBADA,"20,00",,,,,,,,,448,516,0,314,610,614,"482,0",2022
2022,1,1,IME027,3,PRECÁLCULO I,"2,1",REPROBADA,"36,67",,,,,,,,,545,540,551,565,713,734,"542,5",2022
2022,1,1,IME027,3,PRECÁLCULO I,"2,2",REPROBADA,"30,00",,,,,,,,,526,540,0,511,724,825,"533,0",2022
2022,1,1,IME027,3,PRECÁLCULO I,"2,3",REPROBADA,"10,00",,,,,,,,,473,523,0,477,691,715,"498,0",2022
2022,1,1,IME027,3,PRECÁLCULO I,"2,3",REPROBADA,"36,67",,,,,,,,,478,551,0,545,571,571,"514,5",2022
2022,1,1,IME027,3,PRECÁLCULO I,"2,4",REPROBADA,"3,33",,,,,,,,,545,590,533,538,768,794,"567,5",2022
2022,1,1,IME027,3,PRECÁLCULO I,"2,6",REPROBADA,"26,67",,,,,,,,,574,644,0,578,680,700,"609,0",2022
2022,1,1,IME027,3,PRECÁLCULO I,"2,7",REPROBADA,"36,67",,,,,,,,,628,660,0,600,774,794,"644,0",2022
2022,1,1,IME027,3,PRECÁLCULO I,"3,2",REPROBADA,"10,00",,,,,,,,,463,611,0,583,702,715,"537,0",2022
2022,1,1,IME027,3,PRECÁLCULO I,"3,6",REPROBADA,"10,00",,,,,,,,,606,614,0,590,735,778,"610,0",2022
2022,1,1,IME027,3,PRECÁLCULO I,"3,6",REPROBADA,"26,67",,,,,,,,,634,605,0,557,753,783,"619,5",2022
2022,1,1,IME027,3,PRECÁLCULO I,"3,6",REPROBADA,"30,00",,,,,,,,,574,674,542,544,687,698,"624,0",2022
2022,1,1,IME027,3,PRECÁLCULO I,"3,9",REPROBADA,"43,33",,,,,,,,,667,669,0,672,648,670,"668,0",2022
2022,1,1,IME027,4,PRECÁLCULO I,"1,7",REPROBADA,,,,,,,,,,417,568,450,513,538,538,"492,5",2022
2022,1,1,IME027,4,PRECÁLCULO I,"1,8",REPROBADA,,,,,,,,,,526,540,0,371,545,545,"533,0",2022
2022,1,1,IME027,4,PRECÁLCULO I,"1,9",REPROBADA,,,,,,,,,,507,501,0,470,604,604,"504,0",2022
2022,1,1,IME027,4,PRECÁLCULO I,"2,0",REPROBADA,,,,,,,,,,540,617,0,549,669,735,"578,5",2022
2022,1,1,IME027,4,PRECÁLCULO I,"2,2",REPROBADA,,,,,,,,,,483,579,547,541,549,557,"531,0",2022
2022,1,1,IME027,4,PRECÁLCULO I,"2,3",REPROBADA,,,,,,,,,,540,572,0,581,801,826,"556,0",2022
2022,1,1,IME027,4,PRECÁLCULO I,"2,3",REPROBADA,,,,,,,,,,640,608,0,520,528,528,"624,0",2022
2022,1,1,IME027,4,PRECÁLCULO I,"2,8",REPROBADA,,,,,,,,,,507,614,0,513,621,651,"560,5",2022
2022,1,1,IME027,4,PRECÁLCULO I,"2,9",REPROBADA,,,,,,,,,,600,622,599,511,515,525,"611,0",2022
2022,1,1,IME027,4,PRECÁLCULO I,"3,0",REPROBADA,,,,,,,,,,653,608,0,522,680,715,"630,5",2022
2022,1,1,IME027,4,PRECÁLCULO I,"3,2",REPROBADA,,,,,,,,,,617,568,0,578,643,658,"592,5",2022
2022,1,1,IME027,4,PRECÁLCULO I,"3,3",REPROBADA,,,,,,,,,,564,608,644,578,632,682,"586,0",2022
2022,1,1,IME027,4,PRECÁLCULO I,"4,0",APROBADA,"33,33",,,,,,,,,497,614,533,618,736,838,"555,5",2022
2022,1,1,IME027,4,PRECÁLCULO I,"4,0",APROBADA,"36,67",,,,,,,,,660,605,0,596,680,691,"632,5",2022
2022,1,1,IME027,4,PRECÁLCULO I,"4,0",APROBADA,"36,67",,,,,,,,,675,646,612,625,785,850,"660,5",2022
2022,1,1,IME027,4,PRECÁLCULO I,"4,1",APROBADA,"23,33",,,,,,,,,579,681,640,706,790,834,"630,0",2022
2022,1,1,IME027,4,PRECÁLCULO I,"4,1",APROBADA,"26,67",,,,,,,,,634,651,555,614,709,723,"642,5",2022
2022,1,1,IME027,4,PRECÁLCULO I,"4,2",APROBADA,"10,00",,,,,,,,,640,649,0,665,731,747,"644,5",2022
2022,1,1,IME027,4,PRECÁLCULO I,"4,2",APROBADA,"23,33",,,,,,,,,545,619,0,458,610,617,"582,0",2022
2022,1,1,IME027,4,PRECÁLCULO I,"4,3",APROBADA,"26,67",,,,,,,,,600,719,0,686,746,798,"659,5",2022
2022,1,1,IME027,4,PRECÁLCULO I,"4,3",APROBADA,"40,00",,,,,,,,,611,690,0,575,615,615,"650,5",2022
2022,1,1,IME027,4,PRECÁLCULO I,"4,6",APROBADA,"50,00",,,,,,,,,675,676,0,555,731,747,"675,5",2022
2022,1,1,IME027,4,PRECÁLCULO I,"4,8",APROBADA,"33,33",,,,,,,,,660,611,633,543,779,815,"635,5",2022
2022,1,1,IME027,4,PRECÁLCULO I,"6,1",APROBADA,"40,00",,,,,,,,,707,690,0,660,731,747,"698,5",2022
2022,1,1,IME027,4,PRECÁLCULO I,"6,2",APROBADA,"66,67",,,,,,,,,767,801,0,737,774,850,"784,0",2022
2022,1,1,IME027,4,PRECÁLCULO I,"1,0",REPROBADA,"30,00",,,,,,,,,634,564,497,502,648,709,"599,0",2022
2022,1,1,IME027,4,PRECÁLCULO I,"1,1",REPROBADA,"0,00",,,,,,,,,600,611,0,587,556,560,"605,5",2022
2022,1,1,IME027,4,PRECÁLCULO I,"1,3",REPROBADA,"30,00",,,,,,,,,488,560,479,444,680,709,"524,0",2022
2022,1,1,IME027,4,PRECÁLCULO I,"1,5",REPROBADA,"53,33",,,,,,,,,428,551,269,528,501,501,"489,5",2022
